rcp	gcm	ensemble	pr	tas	tasmax	tasmin	hur	rsds	sfcWind
rcp85	gfld_esm2g	r1i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	N/A
rcp85	gfld_esm2g	r1i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	N/A
rcp85	gfld_esm2m	r1i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc
rcp85	gfld_esm2m	r1i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc
rcp85	gfld_esm2m	r1i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc
rcp85	gfld_esm2m	r1i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc
rcp85	gfld_esm2m	r1i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc
rcp85	gfld_esm2m	r1i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc
rcp85	gfld_esm2m	r1i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc
rcp85	hadgem2_es	r1i1p1	20051201-20991230.nc	20051201-20991230.nc	20051201-20991230.nc	20051201-20991230.nc	20051201-20991230.nc	20051201-20991230.nc	20051201-20991230.nc
rcp85	hadgem2_es	r1i1p1	20051201-20991230.nc	20051201-20991230.nc	20051201-20991230.nc	20051201-20991230.nc	20051201-20991230.nc	20051201-20991230.nc	20051201-20991230.nc
rcp85	hadgem2_es	r1i1p1	20051201-20991230.nc	20051201-20991230.nc	20051201-20991230.nc	20051201-20991230.nc	20051201-20991230.nc	20051201-20991230.nc	20051201-20991230.nc
