model	ens	var	time	date	levels	nlevels	ndate	nyear	nmon	ndateNC	nyearNC	nmonNC	splitYear	extractDatesNC	checkNdates	checkNYears	checkNmon	file
bcc-csm1-1	r1i1p1	hur	day	20060101-21001231	1,2	8	34675	95	1140	34674	95	1140	splitYear	extractDatesNC	error	OK	OK	hur_day_bcc-csm1-1_rcp85_r1i1p1_20060101-21001231.nc
bcc-csm1-1	r1i1p1	pr	day	20060101-20991230	1	1	34309	93	1127	34309	94	1128	splitYear	extractDatesNC	OK	OK	OK	pr_day_bcc-csm1-1_rcp85_r1i1p1_20060101-20991230.nc
bcc-csm1-1	r1i1p1	rsds	day	20060101-21001231	1	1	34675	95	1140	34674	95	1140	splitYear	extractDatesNC	error	OK	OK	rsds_day_bcc-csm1-1_rcp85_r1i1p1_20060101-21001231.nc
bcc-csm1-1	r1i1p1	sfcWind	day	20060101-20991230	1	1	34309	93	1127	34309	94	1128	splitYear	extractDatesNC	OK	OK	OK	sfcWind_day_bcc-csm1-1_rcp85_r1i1p1_20060101-20991230.nc
bcc-csm1-1	r1i1p1	tas	day	20060101-20991230	1	1	34309	93	1127	34309	94	1128	splitYear	extractDatesNC	OK	OK	OK	tas_day_bcc-csm1-1_rcp85_r1i1p1_20060101-20991230.nc
bcc-csm1-1	r1i1p1	tasmax	day	20060101-20991230	1	1	34309	93	1127	34309	94	1128	splitYear	extractDatesNC	OK	OK	OK	tasmax_day_bcc-csm1-1_rcp85_r1i1p1_20060101-20991230.nc
bcc-csm1-1	r1i1p1	tasmin	day	20060101-20991230	1	1	34309	93	1127	34309	94	1128	splitYear	extractDatesNC	OK	OK	OK	tasmin_day_bcc-csm1-1_rcp85_r1i1p1_20060101-20991230.nc
bcc-csm1-1-m	r1i1p1	hur	day	20060101-21001231	1,2	8	34675	95	1140	34675	95	1140	splitYear	extractDatesNC	OK	OK	OK	hur_day_bcc-csm1-1-m_rcp85_r1i1p1_20060101-21001231.nc
bcc-csm1-1-m	r1i1p1	pr	day	20060101-21001231	1	1	34675	95	1140	34675	95	1140	splitYear	extractDatesNC	OK	OK	OK	pr_day_bcc-csm1-1-m_rcp85_r1i1p1_20060101-21001231.nc
bcc-csm1-1-m	r1i1p1	rsds	day	20060101-21001231	1	1	34675	95	1140	34675	95	1140	splitYear	extractDatesNC	OK	OK	OK	rsds_day_bcc-csm1-1-m_rcp85_r1i1p1_20060101-21001231.nc
bcc-csm1-1-m	r1i1p1	sfcWind	day	20060101-21001231	1	1	34675	95	1140	34675	95	1140	splitYear	extractDatesNC	OK	OK	OK	sfcWind_day_bcc-csm1-1-m_rcp85_r1i1p1_20060101-21001231.nc
